DataCadastro;DataConclusaoCadastro;NomeEscola;INEP;UFEscola;MunicipioEscola;IDEscola;IDProfessor
/Date(1754055857923)/;;PEDROSO COLEGIO;35151968;São Paulo;São Paulo;46;6046
/Date(1755017616760)/;;FRANCISCANO PIO XII COLEGIO;35105314;São Paulo;São Paulo;910;6068
/Date(1758186666957)/;;MARIA JUVENAL HOMEM DE MELLO PROFA;35041762;São Paulo;São Paulo;5114;6142
/Date(1756219317493)/;;CRUZEIRO DO SUL COLEGIO UNIDADE II;35130758;São Paulo;São Paulo;2010;6148
/Date(1756430999803)/;;OLGA BENATTI PROFESSORA;35001788;São Paulo;São Paulo;2257;6319
/Date(1756302646380)/;;HELENA LOMBARDI BRAGA PROFESSORA;35003086;São Paulo;São Paulo;2103;6423
/Date(1757097386153)/;;JOSE DE PAIVA NETTO INSTITUTO DE EDUCACAO;35119261;São Paulo;São Paulo;2955;6426
/Date(1757469346050)/;;SESI 434 CENTRO EDUCACIONAL;35419588;São Paulo;São Paulo;3302;6438
/Date(1754050024830)/;;SAO LUIZ DE GONZAGA III COLEGIO;35153825;São Paulo;São Paulo;18;6479
/Date(1754997324450)/;;EMEF JARDIM SILVA TELES;35587679;São Paulo;São Paulo;863;6486
/Date(1758107313963)/;;EMEF JOSE BONIFACIO;35054847;São Paulo;São Paulo;4845;6641
/Date(1756511145927)/;;AMADOR E CATHARINA SAPORITO AUGUSTO;35901748;São Paulo;São Paulo;2335;6691
/Date(1757606344523)/;;DOM BOSCO COLEGIO UNID III;35367734;São Paulo;São Paulo;3598;6730
/Date(1756849241720)/;;COLEGIO PAULO DE TARSO BABY KIDS UNIDADE II;35008915;São Paulo;São Paulo;2628;6785
/Date(1755288758787)/;;JOAO PAULO I COLEGIO;35131738;São Paulo;São Paulo;1208;7062
/Date(1758823645597)/;;EMEF MARINA MELANDER COUTINHO PROFA;35280331;São Paulo;São Paulo;6916;7064
/Date(1754942663507)/;;EMEF HELINA COUTINHO LOURENCO ALVES PROFESSORA;35434085;São Paulo;São Paulo;835;7078
/Date(1754505240600)/;;EMEF JOAO NAOKI SUMITA DR;35054574;São Paulo;São Paulo;542;7999
/Date(1757770259017)/;;COLEGIO CAMINHOS E COLINAS;35005941;São Paulo;São Paulo;4058;8104
/Date(1754831456750)/;;ALVARO DE SOUZA LIMA DOUTOR;35037618;São Paulo;São Paulo;780;8641
/Date(1755040274313)/;;ESCOLA FLOR DA VIDA EDUCACAO E LAZER;35006290;São Paulo;São Paulo;957;8867
/Date(1755087637140)/;;ETEC GETULIO VARGAS;35004352;São Paulo;São Paulo;984;8956
/Date(1755113608093)/;;EMEF LILIAN MASO PROFA;35445526;São Paulo;São Paulo;1038;9007
/Date(1755129155183)/;;EMEF ARMANDO CRIDEY RIGHETTI;35055591;São Paulo;São Paulo;1054;9054
/Date(1757616504817)/;;PINHEIRO ESCOLA;35139129;São Paulo;São Paulo;3673;9665
/Date(1755542400960)/;;EMEF ANIBAL FREIRE MIN;35053533;São Paulo;São Paulo;1343;9789
/Date(1755693954103)/;;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;35000450;São Paulo;São Paulo;1510;10097
/Date(1756308274500)/;;BELO FUTURO INTERNACIONAL COLEGIO UNIDADE II;35569240;São Paulo;São Paulo;2110;10256
/Date(1755779554333)/;;MARIA IMACULADA COLEGIO EEIFM;35105041;São Paulo;São Paulo;1604;10290
/Date(1756809583080)/;;FRANCISCANO PIO XII COLEGIO;35105314;São Paulo;São Paulo;2552;10560
/Date(1755908662450)/;;RENATO DE ARRUDA PENTEADO PROFESSOR;35000097;São Paulo;São Paulo;1774;10623
/Date(1756128360187)/;;LEOPOLDO SANTANA PROFESSOR;35005010;São Paulo;São Paulo;1874;11015
/Date(1756150197770)/;;EMEF ANALIA FRANCO BASTOS;35076132;São Paulo;São Paulo;1919;11080
/Date(1756242046290)/;;HERCULANO DE FREITAS PROFESSOR;35043953;São Paulo;São Paulo;2063;11406
/Date(1756322960380)/;;CEU EMEF CANTOS DO AMANHECER;35356736;São Paulo;São Paulo;2139;11625
/Date(1756327403117)/;;MARIA AUGUSTA DE AVILA PROFA;35002616;São Paulo;São Paulo;2149;11644
/Date(1756382325593)/;;GUSTAVO BARROSO;35916729;São Paulo;São Paulo;2186;11771
/Date(1756438188777)/;;EMILIO WARWICK KERR PASTOR;35041774;São Paulo;São Paulo;2262;11946
/Date(1756512609847)/;;BRASILEIRO ISLAMICO COLEGIO;35442379;São Paulo;São Paulo;2336;12117
/Date(1757461151750)/;;CONDE DOMINGOS COLEGIO;35060574;São Paulo;São Paulo;3295;12200
/Date(1756689138613)/;;EMEFM LINNEU PRESTES PROF;35054082;São Paulo;São Paulo;2440;12522
/Date(1758057847150)/;;NOVO ESPACO COLEGIO;35171487;São Paulo;São Paulo;4757;12874
/Date(1756949906673)/;;LUIZ SERGIO CLAUDINO DOS SANTOS DEPUTADO;35923606;São Paulo;São Paulo;2758;13252
/Date(1757020400927)/;;RAIZES COLEGIO;35118151;São Paulo;São Paulo;2868;13478
/Date(1757183433270)/;;ETEC PAULISTANO;35439083;São Paulo;São Paulo;3004;13863
/Date(1757183494073)/;;CARLOS FREDERICO WERNECK LACERDA JORNALISTA;35037709;São Paulo;São Paulo;3005;13863
/Date(1757610923700)/;;REDE DECISAO UNIDADE SAUDE;35125398;São Paulo;São Paulo;3628;14072
/Date(1757423808417)/;;CIEJA ALUNA JESSICA NUNES HERCULANO;35260228;São Paulo;São Paulo;3201;14299
/Date(1757428995780)/;;NOSSA SENHORA APARECIDA COLEGIO FRANCISCANO;35106148;São Paulo;São Paulo;3219;14319
/Date(1758582130240)/;;REDE DECISAO UNIDADE SAUDE;35125398;São Paulo;São Paulo;6016;14457
/Date(1757517529330)/;;NOSSA SENHORA AUXILIADORA INSTITUTO;35101333;São Paulo;São Paulo;3379;14665
/Date(1757980968057)/;;PAULO LAURO DR;35048641;São Paulo;São Paulo;4490;15004
/Date(1757612431357)/;;BRASILIO MACHADO;35004790;São Paulo;São Paulo;3638;15042
/Date(1757679694677)/;;BATISTA DA PENHA COLEGIO;35142529;São Paulo;São Paulo;3826;15282
/Date(1757863902930)/;;SENAC NACOES UNIDAS;35269025;São Paulo;São Paulo;4153;15415
/Date(1757724367447)/;;SENAC NACOES UNIDAS;35269025;São Paulo;São Paulo;4008;15604
/Date(1758129437017)/;;IFSP - CAMPUS SAO PAULO;35990012;São Paulo;São Paulo;4983;15643
/Date(1757814622847)/;;CHARLES DE GAULLE;35039123;São Paulo;São Paulo;4120;15921
/Date(1757896291887)/;;LAERTE RAMOS DE CARVALHO PROF DR;35037448;São Paulo;São Paulo;4203;16126
/Date(1757952179393)/;;EXATUS COLEGIO E VESTIBULARES;35144228;São Paulo;São Paulo;4313;16329
/Date(1757952202130)/;;COLEGIO EXATUS;35140788;São Paulo;São Paulo;4314;16329
/Date(1757964633267)/;;RAUL CARDOSO DE ALMEIDA PROFESSOR;35004522;São Paulo;São Paulo;4420;16501
/Date(1757967777630)/;;AYRES DE MOURA PROFESSOR;35000012;São Paulo;São Paulo;4434;16548
/Date(1757974890007)/;;KEIZO ISHIHARA;35003955;São Paulo;São Paulo;4466;16603
/Date(1758067656537)/;;JACOMO STAVALE PROFESSOR;35000553;São Paulo;São Paulo;4793;17202
/Date(1758103076717)/;;MARIA IMACULADA COLEGIO EEIFM;35105041;São Paulo;São Paulo;4823;17294
/Date(1758141615530)/;;ETEC IRMA AGOSTINA;35446695;São Paulo;São Paulo;5055;17630
/Date(1758194186663)/;;BELIZE;35284324;São Paulo;São Paulo;5133;17835
/Date(1758205383797)/;;MADRE MAZZARELLO INSTITUTO;35100663;São Paulo;São Paulo;5197;17941
/Date(1758205416540)/;;MADRID COLEGIO;35117924;São Paulo;São Paulo;5198;17941
/Date(1758231275757)/;;ANHANGUERA;35003384;São Paulo;São Paulo;5327;18140
/Date(1758296960900)/;;VICENTE RAO PROFESSOR;35038234;São Paulo;São Paulo;5489;18283
/Date(1758281157677)/;;ANGLO MORUMBI COLEGIO;35153989;São Paulo;São Paulo;5397;18298
/Date(1758285732867)/;;MIGUEL SANSIGOLO PROF;35901702;São Paulo;São Paulo;5418;18329
/Date(1758648767603)/;;PAULINO NUNES ESPOSO;35005307;São Paulo;São Paulo;6218;18431
/Date(1758648843707)/;;FRANCISCO JOAO DE AZEVEDO PADRE;35037394;São Paulo;São Paulo;6219;18431
/Date(1758307714803)/;;BEATRIZ DE QUADROS LEME PROFESSORA;35005009;São Paulo;São Paulo;5545;18480
/Date(1758321973377)/;;EMEF JOSE DO PATROCINIO;35054148;São Paulo;São Paulo;5585;18496
/Date(1758311350510)/;;ANGELO BORTOLO;35001272;São Paulo;São Paulo;5563;18498
/Date(1758404056673)/;;AFRANIO PEIXOTO;35000760;São Paulo;São Paulo;5683;18824
/Date(1758475093743)/;;PAULINO NUNES ESPOSO;35005307;São Paulo;São Paulo;5763;19053
/Date(1758475181390)/;;CALHIM MANOEL ABUD;35902925;São Paulo;São Paulo;5764;19053
